id;CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment;Latitude;Longitude;State;location
2;36005000200;Bronx;Bronx;5403;2659;2744;75.8;2.3;16;0;4.2;3639;72034;13991;22180;2206;20;20.7;28.7;17.1;23.9;8;22.3;44.8;13.7;38.6;2.9;0;0;43;2308;80.8;16.2;2.9;0;7.7;407.988.442.211;-738.652.763.819;NY;40.7988442211 -73.8652763819
3;36005000400;Bronx;Bronx;5915;2896;3019;62.7;3.6;30.7;0;0.3;4100;74836;8407;27700;2449;13.2;23.6;32.2;23.4;24.9;9;10.5;41.3;10;44.6;1.4;0.5;2.1;45;2675;71.7;25.3;2.5;0.6;9.5;408.011.055.276;-738.589.447.236;NY;40.8011055276 -73.8589447236
4;36005001600;Bronx;Bronx;5879;2558;3321;65.1;1.6;32.4;0;0;3536;32312;6859;17526;2945;26.3;35.9;19.1;36.1;26.2;4.9;13.8;37.2;5.3;45.5;8.6;1.6;1.7;38.8;2120;75;21.3;3.8;0;8.7;408.169.346.734;-738.621.105.528;NY;40.8169346734 -73.8621105528
5;36005001900;Bronx;Bronx;2591;1206;1385;55.4;9;29;0;2.1;1557;37936;3771;17986;2692;37.1;31.5;35.4;20.9;26.2;6.6;11;19.2;5.3;63.9;3;2.4;6.2;45.4;1083;76.8;15.5;7.7;0;19.2;40.794.321.608;-739.285.929.648;NY;40.794321608 -73.9285929648
6;36005002000;Bronx;Bronx;8516;3301;5215;61.1;1.6;31.1;0.3;3.3;5436;18086;3694;12023;2346;53.2;67.7;14.5;41.1;16.7;7.1;20.6;19.6;7;68.2;4.3;1;0;46;2508;71;21.3;7.7;0;17.2;408.146.733.668;-738.684.422.111;NY;40.8146733668 -73.8684422111
7;36005002300;Bronx;Bronx;4774;2130;2644;62.3;0.2;36.5;1;0;3056;14479;1901;9781;1460;54.2;68.3;20.8;36;33.7;3.4;6.1;5.9;0;74.5;14;1.5;4.1;42.7;1191;74.2;16.1;9.7;0;18.9;408.078.894.472;-739.254.271.357;NY;40.8078894472 -73.9254271357
9;36005002500;Bronx;Bronx;5355;2338;3017;76.5;1.5;18.9;0;3;2509;17226;6097;11493;1714;50.5;62.4;15.9;36.6;24.2;8.6;14.7;12.6;2.8;62.5;17.7;1.8;2.7;35.5;1691;85.1;8.3;6.1;0.5;9.4;408.056.281.407;-739.222.613.065;NY;40.8056281407 -73.9222613065
10;36005002701;Bronx;Bronx;3016;1375;1641;68;0;31.2;0;0;1456;20153;5229;10317;1573;52.6;64.9;19.9;35.9;25.8;4.9;13.5;14;1.7;64.7;18;0;1.6;42.8;1102;86.9;8.5;4.5;0;15.2;408.056.281.407;-739.159.296.482;NY;40.8056281407 -73.9159296482
11;36005002702;Bronx;Bronx;4778;2427;2351;71.3;1.6;26.2;0;0;2365;17147;7165;8911;1450;52.7;63.1;15.2;46.4;25;1.7;11.6;5.1;3;83.6;7.1;0.7;0.5;44;1559;75;14;11;0;10.6;408.056.281.407;-739.159.296.482;NY;40.8056281407 -73.9159296482
12;36005002800;Bronx;Bronx;5299;2292;3007;23;0.2;71.4;0;1.7;4056;49529;5441;26652;3069;8.5;6.5;36.6;24.4;26.6;4.9;7.4;42.8;3.7;48.2;2;0.6;2.7;47.3;2394;61.9;37.4;0.6;0;12.8;408.191.959.799;-738.811.055.276;NY;40.8191959799 -73.8811055276
13;36005003100;Bronx;Bronx;1466;769;697;72.3;0.6;24.6;0;2.2;647;37250;12079;17043;2281;18.1;25.2;17.5;27.6;27;10.9;17;16.4;0;65.5;14.6;3.5;0;40.1;722;79.2;10.2;10.5;0;6.6;408.078.894.472;-739.064.321.608;NY;40.8078894472 -73.9064321608
14;36005003300;Bronx;Bronx;3912;1824;2088;65.6;1;30.6;1.7;0;1945;19923;2402;8555;1435;56.3;72.3;14.5;51.4;15.8;2.7;15.6;11;4.6;68.4;13.5;0.8;1.8;42.5;1113;77.2;16.9;5.9;0;18.5;408.078.894.472;-739.127.638.191;NY;40.8078894472 -73.9127638191
15;36005003500;Bronx;Bronx;3948;1921;2027;73.5;0.7;25.9;0;0;2191;26541;7009;12300;1884;36.3;47.9;15.9;34.6;23.5;7.6;18.4;19.6;2.6;64.7;7.4;1;4.7;41.6;1360;83.2;13.4;3.4;0;11.8;408.101.507.538;-739.095.979.899;NY;40.8101507538 -73.9095979899
17;36005003800;Bronx;Bronx;1193;542;651;53.1;1.8;42.7;0;0.8;846;37685;6696;19795;6558;31.3;45;35.7;31.9;17.6;3.2;11.6;41.6;1.7;47.3;6.9;1.3;1.1;41.3;476;71.8;27.1;1.1;0;13.1;408.214.572.864;-738.621.105.528;NY;40.8214572864 -73.8621105528
18;36005003900;Bronx;Bronx;6614;3520;3094;82;1.9;16.1;0;0;2569;25990;6323;14559;2790;30.2;35.7;9.3;43.8;12.7;10.2;24;3.4;1.1;83.6;6.5;0.6;4.8;42.9;2729;88.2;3.4;8.2;0.3;9.3;408.078.894.472;-739.222.613.065;NY;40.8078894472 -73.9222613065
19;36005004001;Bronx;Bronx;1419;675;744;51.3;11.2;10.8;0;21.6;936;48056;6057;22652;3344;16.6;28.6;18.1;17.9;42.7;9.5;11.8;31;3;62.9;3.2;0;0;47.4;602;81.9;16.9;1.2;0;6.8;40.828.241.206;-738.589.447.236;NY;40.828241206 -73.8589447236
20;36005004100;Bronx;Bronx;6476;3125;3351;75.8;0.5;23.4;0;0.2;3809;18636;3658;10877;4758;53.3;67.4;8.9;48.1;30.3;8.3;4.4;6.7;0.5;75.1;16.2;0.7;0.8;43.5;1734;81.3;13.4;5.3;0;19.2;408.101.507.538;-739.222.613.065;NY;40.8101507538 -73.9222613065
21;36005004200;Bronx;Bronx;7120;3147;3973;46.5;5.1;47;0;0.8;5248;25741;7845;13846;1947;40.5;56.4;26.3;32;23.9;6.6;11.1;19.4;2.7;68.9;7.2;1;1;48.5;2094;71.8;24.2;3.4;0.6;21;408.214.572.864;-738.684.422.111;NY;40.8214572864 -73.8684422111
22;36005004300;Bronx;Bronx;6057;3094;2963;74.1;0.4;23.4;0;0;3032;21448;3092;11828;1525;46.6;55.2;14.4;39.1;22.3;10.1;14;13.4;2.6;66.4;12.6;1;4;39.6;2026;76.8;12.2;11;0;15.6;408.124.120.603;-739.190.954.774;NY;40.8124120603 -73.9190954774
23;36005004400;Bronx;Bronx;4754;2081;2673;60.6;2.4;35.2;0;1.7;3153;22719;2899;12126;1669;34.8;46.6;16.3;30.4;38.2;4.1;11;15.9;5.6;72.4;2.5;0.8;2.8;43.2;1446;79.3;19.3;1.4;0;26.1;408.259.798.995;-738.716.080.402;NY;40.8259798995 -73.8716080402
24;36005004600;Bronx;Bronx;1869;845;1024;59.7;3;36.6;0.4;0;1182;40950;10707;19260;4463;25.5;37.1;23.6;38.4;21.2;5.9;10.9;35.3;8.3;47.1;9.3;0;0;33.7;589;68.6;23.3;8.1;0;13.4;408.214.572.864;-738.684.422.111;NY;40.8214572864 -73.8684422111
25;36005004800;Bronx;Bronx;3999;2154;1845;71.7;1.2;23.8;0;2.4;1499;30301;4692;13968;2096;33.2;41.9;15.7;37.8;19.9;12.1;14.5;14;5;71;6.6;0;3.4;42.1;1577;84;8.1;8;0;14;408.259.798.995;-738.747.738.693;NY;40.8259798995 -73.8747738693
26;36005005001;Bronx;Bronx;4885;2313;2572;58.4;0;36.8;0;0;2288;27456;9296;15334;2365;34.4;50.2;12.3;36.9;24.5;15.6;10.6;14.7;4.3;69.6;8;0;3.3;48.2;1919;78;16.3;3.1;2.6;14.5;408.259.798.995;-738.779.396.985;NY;40.8259798995 -73.8779396985
27;36005005002;Bronx;Bronx;5650;2867;2783;73.2;0.4;17.1;1.4;0.2;1995;28039;5380;12990;1906;45.6;60.7;5.4;43.4;19.8;18.5;12.9;5.4;3.4;75.1;10.4;2.3;3.3;48.2;2647;93.3;2.1;4.6;0;13.3;40.828.241.206;-738.779.396.985;NY;40.828241206 -73.8779396985
28;36005005100;Bronx;Bronx;5653;2256;3397;69.7;0.1;28.1;2.1;0;3360;18633;2086;10602;1444;49.4;70.1;15.5;52.9;17.3;6.4;7.9;2.4;2;92.2;2.5;0.5;0.5;43.6;1631;77.9;19;2.7;0.4;22.6;408.101.507.538;-73.931.758.794;NY;40.8101507538 -73.931758794
29;36005005200;Bronx;Bronx;2277;1028;1249;69.7;0.5;26.7;0;2.9;1344;17756;3843;15123;4609;49.3;57.8;23.1;29.6;22.3;13.2;11.7;14;3.7;54;12;7.3;9;43.2;749;81.6;9.6;8.8;0;13.5;40.823.718.593;-738.842.713.568;NY;40.823718593 -73.8842713568
30;36005005300;Bronx;Bronx;3727;1514;2213;44.1;3;50.7;0.5;0.2;2053;17719;4121;10031;1557;54.7;70;17.2;38;20.8;10.6;13.4;11;4.4;78.7;3.6;2.4;0;56.8;990;85.1;14.9;0;0;23.7;408.508.542.714;-739.222.613.065;NY;40.8508542714 -73.9222613065
31;36005005400;Bronx;Bronx;6219;3163;3056;71.7;0;21;0;1.8;2699;27380;6078;14711;2106;41.7;55.8;11.9;32.3;22.3;18.8;14.7;15;3.1;67.9;5.6;4.5;3.9;41.3;2600;81.5;7.2;11.3;0;8.9;408.305.025.126;-738.811.055.276;NY;40.8305025126 -73.8811055276
32;36005005600;Bronx;Bronx;2468;1084;1384;66.4;1;24.4;0;1.8;1296;17771;4860;13596;2014;38;52;21.1;33;23.8;10.7;11.4;17.6;7.4;65;8.7;0;1.3;40;821;87.3;10.2;2.4;0;16.8;408.327.638.191;-738.811.055.276;NY;40.8327638191 -73.8811055276
33;36005005902;Bronx;Bronx;3131;1460;1671;70.4;1.8;23.1;2.6;1.3;1829;38542;6531;19604;4834;26.9;18.3;21.2;41.2;17.7;9.8;10.1;13.6;2.6;66.5;8.6;0.1;8.7;40.1;1205;70.5;23.2;6.2;0;14.2;408.214.572.864;-739.254.271.357;NY;40.8214572864 -73.9254271357
34;36005006000;Bronx;Bronx;1256;591;665;69.4;4.1;21.4;0;1.8;679;41190;4642;15989;2949;35.2;46.8;20.7;39.8;21.3;2.9;15.3;25.9;4.7;61.2;3.5;0;4.7;40.4;522;75.1;18.4;6.5;0;11.1;408.372.864.322;-738.811.055.276;NY;40.8372864322 -73.8811055276
35;36005006100;Bronx;Bronx;3706;1484;2222;16.8;2.1;77.1;0;0.5;3232;48298;9993;31379;3023;9.8;7.7;35;30;27.9;1.7;5.4;27;0.8;64.5;7.7;0;0;37.5;1581;61;37.6;1.4;0;7.8;408.191.959.799;-739.254.271.357;NY;40.8191959799 -73.9254271357
36;36005006200;Bronx;Bronx;7610;3790;3820;69.6;0;30.2;0;0.2;3811;24480;5909;12152;1646;34.7;55;14.5;36.2;21.3;21;7;17.6;0.4;66.7;5.2;3.1;7.1;41.6;2749;75.6;12.5;12;0;11.4;408.305.025.126;-738.779.396.985;NY;40.8305025126 -73.8779396985
37;36005006300;Bronx;Bronx;4431;2394;2037;69.1;3.7;20.6;0.8;5;2523;32064;4061;19243;2473;27.7;45;19.9;25.9;33.4;5.4;15.5;12.9;0.8;73.3;10.4;2.7;0;41.4;2032;80;13.9;6.1;0;12.8;408.146.733.668;-73.931.758.794;NY;40.8146733668 -73.931758794
38;36005006400;Bronx;Bronx;3590;1755;1835;54.8;8.3;31.8;0;1.1;2288;30726;8555;15846;3083;41.1;63.9;25.4;18.7;40.5;9.9;5.5;32;0.8;63.8;0.7;0.6;2.1;46.7;1459;79.4;13;7.5;0;12.2;408.305.025.126;-738.716.080.402;NY;40.8305025126 -73.8716080402
39;36005006500;Bronx;Bronx;5487;2557;2930;60.5;4.8;32.7;0;1.4;2858;21384;5108;11967;1760;44.2;63.3;10.5;44.1;30.3;4.1;11.1;3.3;0;73.5;18.1;0;5.1;35.9;2168;85.2;10.7;4.1;0;11.6;408.169.346.734;-739.254.271.357;NY;40.8169346734 -73.9254271357
40;36005006700;Bronx;Bronx;7421;3353;4068;66.3;1.8;29.4;0.5;0;3192;21016;4709;13243;6074;47.1;67.1;12.9;35.4;26.3;6.1;19.3;7.8;0.8;62.9;17.9;4.9;5.7;46.2;2413;81.8;9.9;8.3;0;14.6;408.191.959.799;-739.190.954.774;NY;40.8191959799 -73.9190954774
41;36005006800;Bronx;Bronx;3288;1866;1422;59.1;3.1;29.5;0;4.2;1474;47232;11781;17178;2623;22.5;33.9;16.1;40.2;22;14.7;6.9;25.6;5.8;58.5;5.1;3.9;1.1;42.9;1370;84.2;12.6;3.3;0;12.5;40.828.241.206;-738.716.080.402;NY;40.828241206 -73.8716080402
42;36005006900;Bronx;Bronx;8554;3740;4814;58.8;2.5;36.1;0;1.3;4349;19741;7359;12111;1804;44;48.5;18;37.7;25.6;5.2;13.5;15.5;3.9;63.8;12;0;4.9;38.3;2617;80;14.6;5.4;0;16.7;408.214.572.864;-739.159.296.482;NY;40.8214572864 -73.9159296482
43;36005007000;Bronx;Bronx;4568;2172;2396;64.1;2.3;25;0.7;5.1;2211;34191;7201;14602;1614;30.1;55.3;16.4;34.3;22.6;14.1;12.6;14.2;4.5;72.5;3.9;0.9;4;45.4;1877;84.8;12.6;2.6;0;11.8;40.828.241.206;-738.652.763.819;NY;40.828241206 -73.8652763819
44;36005007100;Bronx;Bronx;2547;1080;1467;60.7;1.1;36.4;0;0.9;1783;38289;6810;18245;3123;28.8;37.8;26.7;23.4;27.6;14.4;7.8;19.2;0.5;68.3;9.4;1.2;1.4;44.4;1011;78.2;19.8;2;0;16.5;408.146.733.668;-739.159.296.482;NY;40.8146733668 -73.9159296482
45;36005007200;Bronx;Bronx;5822;2924;2898;50.4;6.2;15.3;0;22.2;2631;37634;8074;14985;2146;33.4;48;19.9;30.9;26.7;12;10.6;29.4;0.9;60.1;5;2.2;2.3;42.2;2307;84.8;9.3;5.9;0;7.4;408.305.025.126;-738.621.105.528;NY;40.8305025126 -73.8621105528
46;36005007300;Bronx;Bronx;3761;1866;1895;63;2;33.9;0.1;0;1690;18358;5706;9872;1662;50.7;60;10.1;47.9;26.3;4.8;10.9;12.2;1.9;61.8;9.5;2.6;12;46.2;1127;91.2;5.3;3.5;0;20.2;408.146.733.668;-739.095.979.899;NY;40.8146733668 -73.9095979899
47;36005007400;Bronx;Bronx;3635;1744;1891;72.8;1.5;25.5;0;0.2;2675;44455;7777;22275;2702;19.3;40.6;33.9;30.7;23.1;2.8;9.6;40.8;6.8;46.4;3.3;0;2.7;45.4;1630;74.7;23.9;1.5;0;7.1;408.169.346.734;-738.526.130.653;NY;40.8169346734 -73.8526130653
48;36005007500;Bronx;Bronx;5599;2072;3527;58.8;1.8;38.5;0.9;0;3307;25452;5317;13290;1603;31.7;43.5;19.5;40.5;25.1;6.5;8.4;18.6;3.8;63.1;10.1;1.8;2.7;38.8;2017;78.7;15.2;6.1;0;8.5;408.169.346.734;-739.095.979.899;NY;40.8169346734 -73.9095979899
49;36005007600;Bronx;Bronx;5587;2681;2906;63.7;3.3;19.4;1.5;9.3;2686;33465;6930;15194;1990;34.6;50.3;14.4;29.8;24.1;15;16.7;26.7;5.8;61;3.2;1;2.3;39.4;2316;87.4;7.9;3.5;1.2;9.4;408.327.638.191;-738.684.422.111;NY;40.8327638191 -73.8684422111
50;36005007700;Bronx;Bronx;1933;879;1054;70.8;2.5;26.3;0.4;0;1118;26486;7002;13724;2428;37.8;52.5;20.3;27.9;31.4;10.4;9.9;15.5;10.4;60.2;8.3;2.5;3.1;40.2;684;79.1;12.1;7.9;0.9;13.6;408.191.959.799;-739.064.321.608;NY;40.8191959799 -73.9064321608
51;36005007800;Bronx;Bronx;6518;3023;3495;66.2;4.4;15.8;0;11.7;3619;30437;12004;14343;1891;31;40.9;18.8;31.6;33.5;4.7;11.4;21.5;10.2;57.6;5.6;1.9;3.1;37.6;2415;86;7.3;6.7;0;15.7;40.828.241.206;-738.557.788.945;NY;40.828241206 -73.8557788945
52;36005007900;Bronx;Bronx;6420;3118;3302;77.6;0.1;21.6;0;0;3204;24278;9630;13513;2921;44.7;63;12.2;35.8;25.7;5.3;21;13.8;0;71;10;1.1;4.1;41.1;2204;80.3;9.2;10.5;0;14.4;408.146.733.668;-739.064.321.608;NY;40.8146733668 -73.9064321608
53;36005008300;Bronx;Bronx;6882;3348;3534;79.1;0.4;15.6;0;4.2;3333;19818;8210;11959;1709;41.9;55.1;18.1;40.4;26.2;5.4;9.9;10.5;2.4;74.2;6.2;3.2;3.5;42.1;2354;89.8;4.6;5.3;0.3;14.1;408.124.120.603;-739.032.663.317;NY;40.8124120603 -73.9032663317
54;36005008400;Bronx;Bronx;2289;1069;1220;60.8;1.5;30.1;0.9;3.4;1538;60135;8334;23698;4110;13.6;23.7;27.3;27.9;28.7;6.5;9.5;36.6;5.2;54.2;4;0;0;41.8;1039;79.2;17.7;3.1;0;10.2;408.146.733.668;-738.494.472.362;NY;40.8146733668 -73.8494472362
55;36005008500;Bronx;Bronx;5959;3196;2763;77.4;1;19.5;0;1;2988;27174;7981;12216;1583;39.3;41.9;15.4;36.2;27.8;7.8;12.8;13.1;3.4;66.7;11.7;3.2;1.9;37.9;2188;82.8;5.3;9.8;2.1;15.1;408.146.733.668;-739.001.005.025;NY;40.8146733668 -73.9001005025
56;36005008600;Bronx;Bronx;3874;1668;2206;69.2;0.4;24.9;0;4.9;2596;23045;6048;12513;1714;39.1;49.1;17.3;42.9;18.4;7;14.4;17.9;5.2;61.7;14.6;0;0.6;46.2;1295;82.8;13.1;4.1;0;9.4;408.169.346.734;-738.494.472.362;NY;40.8169346734 -73.8494472362
57;36005008700;Bronx;Bronx;6002;2843;3159;76.9;2.2;20.5;0;0;3246;29188;5168;14050;1567;30.4;36.2;16.1;39;25.7;7.1;12.1;9.5;4;70.7;7.5;2.3;6;44.5;2236;80.6;15.2;4.2;0;8.3;408.169.346.734;-739.001.005.025;NY;40.8169346734 -73.9001005025
58;36005008900;Bronx;Bronx;3438;1661;1777;79.9;1.6;16.6;0.5;1.4;1672;20849;7996;11550;1928;32.5;26.8;15.9;41.7;21.1;7.4;13.9;11.7;4.9;67.7;10.4;1.1;4.1;44.3;1162;83.4;11.3;5.3;0;6.5;408.191.959.799;-738.937.688.442;NY;40.8191959799 -73.8937688442
59;36005009000;Bronx;Bronx;3476;1681;1795;66.5;3.3;24.6;0;4.7;2354;27000;12365;19161;5914;36.7;48.8;31;24.9;34.6;5.3;4.2;36.4;6.5;47.8;4.8;0;4.4;43.8;1075;78.5;17.6;3.9;0;14.6;408.011.055.276;-73.846.281.407;NY;40.8011055276 -73.846281407
60;36005009200;Bronx;Bronx;5622;2578;3044;60.9;2.8;14.2;0;17.8;3260;35227;8725;18825;2909;21.3;28.2;24.3;29.6;26.5;5.9;13.7;13.2;8.1;67.9;6.7;3.8;0.4;48.4;2235;77;16.8;6.1;0;18.6;408.305.025.126;-738.557.788.945;NY;40.8305025126 -73.8557788945
61;36005009300;Bronx;Bronx;6517;3675;2842;72.6;1.2;25.8;0.1;0;3353;30159;4279;11783;1621;40.7;49.7;16.5;34.1;22;14.4;13;24;2.3;45.4;23.3;1.1;3.9;40.1;2021;87.2;6.7;6.1;0;9.5;40.794.321.608;-739.001.005.025;NY;40.794321608 -73.9001005025
62;36005009600;Bronx;Bronx;2562;1255;1307;57.3;6.8;20.2;0;14.9;1565;41250;7688;17217;2647;15.6;10.6;19.7;40.3;21.2;3.4;15.2;22.4;7.2;52.4;12.2;2;3.7;38;932;70.9;19.8;9.2;0;17.1;408.305.025.126;-73.846.281.407;NY;40.8305025126 -73.846281407
63;36005009800;Bronx;Bronx;5041;2165;2876;70.1;2.8;21.9;0;2.9;3570;57438;12832;24276;3162;23.3;41.2;34.9;21.3;24.6;8.1;11.1;39.7;6.4;49.8;3.1;1;0;48.3;2290;69.1;25.9;4.9;0;12.7;40.823.718.593;-738.557.788.945;NY;40.823718593 -73.8557788945
65;36005011502;Bronx;Bronx;4566;2058;2508;67.4;0.5;30.8;0.1;1.1;2087;21765;5551;10986;2596;47.6;56.7;13.7;39.8;18.4;10.4;17.7;17.3;2.8;65.3;11.5;0.5;2.7;40.5;1332;84.6;7;8.4;0;18.5;408.169.346.734;-738.874.371.859;NY;40.8169346734 -73.8874371859
66;36005011700;Bronx;Bronx;1603;787;816;72.1;2.1;25.9;0;0;991;25483;7151;14854;2448;33.4;42.2;13;37.2;24.3;9.2;16.3;13.3;7.3;55.3;18.4;0;5.6;38.3;608;87.7;10.5;1.8;0;16.8;407.988.442.211;-738.842.713.568;NY;40.7988442211 -73.8842713568
67;36005011800;Bronx;Bronx;5364;3208;2156;20.1;73.1;1.7;0;4.2;4210;83077;11253;28379;2907;11.3;11.3;38.9;19.5;27.6;3.9;10;52.6;13.4;25.6;4.4;0.8;3.1;34.7;2315;74.2;24.4;1.4;0;7;408.011.055.276;-738.146.231.156;NY;40.8011055276 -73.8146231156
68;36005011900;Bronx;Bronx;5603;2678;2925;68.8;0.3;28.1;0.4;0;2961;22097;5308;13201;4619;39.3;46.3;18.6;48.3;18.3;4.4;10.3;7.1;3;76.8;5.5;0.6;7;44.3;1866;82.9;13.2;3.9;0;15.6;408.214.572.864;-738.906.030.151;NY;40.8214572864 -73.8906030151
69;36005012101;Bronx;Bronx;3057;1466;1591;72.8;3.4;21.8;0;1.1;1467;27813;4935;11175;1384;43.1;48.5;14.2;35.7;25.5;9.8;14.8;14.4;3.1;77.7;1.6;0.3;2.7;46.4;1259;80.5;16.9;2.5;0;10.6;40.828.241.206;-738.906.030.151;NY;40.828241206 -73.8906030151
70;36005012102;Bronx;Bronx;1835;762;1073;81.9;0.9;16.1;0;0;1132;20028;4672;8603;1677;49.6;61;11;37.1;32.2;6.3;13.5;15.7;5.2;70.2;8.9;0;0;44.1;510;87.1;8.6;4.3;0;17.7;408.259.798.995;-738.874.371.859;NY;40.8259798995 -73.8874371859
71;36005012300;Bronx;Bronx;4379;2073;2306;66.3;0.5;28;0;0.7;2386;21300;9643;15115;5578;45.1;59.5;22.8;31.4;29.9;8.6;7.2;12.5;1.8;69.6;9.8;1.7;4.5;43.3;1520;93.5;4.5;2;0;10.6;40.828.241.206;-738.906.030.151;NY;40.828241206 -73.8906030151
72;36005012500;Bronx;Bronx;4272;2125;2147;71;1.4;22.1;1.7;2;2119;26348;2834;14459;2055;42.9;57;30.8;26.8;14.2;7.9;20.3;21.5;3.7;61.6;6;4.1;3;39.3;1421;74.5;14.1;9.7;1.7;13.5;40.828.241.206;-738.937.688.442;NY;40.828241206 -73.8937688442
73;36005012701;Bronx;Bronx;1992;791;1201;78.3;2.1;16.1;0.3;2.8;1271;18641;3928;11700;1884;49.4;59.9;17.4;34.3;27.3;8.8;12.2;4.4;4.3;72.2;16.9;1.7;0.5;39.7;656;83.4;14.8;1.8;0;9;408.259.798.995;-738.937.688.442;NY;40.8259798995 -73.8937688442
74;36005012901;Bronx;Bronx;4017;1821;2196;58.1;2.5;36.1;0;2.4;2344;18269;4443;9415;1262;48.9;54.1;6.7;49.6;30.4;6.9;6.3;7.9;3.2;75.6;7.4;0;5.8;43.4;995;88.6;10.2;1.2;0;14.1;408.214.572.864;-739.001.005.025;NY;40.8214572864 -73.9001005025
75;36005013000;Bronx;Bronx;1364;637;727;41.2;55.1;1.5;0;0;1118;77917;19751;33654;5735;5.7;3.2;23.4;15.1;36.1;12.3;13;52.1;14.6;30.4;0.9;0;2;39.2;747;76.3;22.8;0.9;0;6.7;408.191.959.799;-738.146.231.156;NY;40.8191959799 -73.8146231156
76;36005013100;Bronx;Bronx;4685;2261;2424;71.4;0.8;24.3;0;1.8;2428;25271;7236;12742;1342;35.5;37.7;18.2;31.4;35.8;5.1;9.5;16.5;2.7;67.2;6;2.7;4.9;42.8;1686;80.5;9.2;10.3;0;11.5;408.259.798.995;-739.001.005.025;NY;40.8259798995 -73.9001005025
77;36005013200;Bronx;Bronx;7426;3706;3720;50;31.3;10.7;0;3.8;5755;96701;6298;38669;4873;7;15.8;38.5;23.6;25.2;5.9;6.9;54;6.8;30.6;7;1.6;0;41.4;3797;73.2;24.3;2.5;0;7.5;408.056.281.407;-738.272.864.322;NY;40.8056281407 -73.8272864322
78;36005013300;Bronx;Bronx;7284;3419;3865;69.8;1;28.8;0;0;4211;25282;8305;13793;1895;25.5;26.4;13.4;44.1;21.2;1.3;20;18.9;3.5;62;5.3;8.2;2.1;36.5;2479;72.7;13.6;13.8;0;15;408.214.572.864;-739.032.663.317;NY;40.8214572864 -73.9032663317
79;36005013500;Bronx;Bronx;3908;1697;2211;62;1.3;32.2;0.8;0;2225;23279;5337;14125;1761;40.2;55.9;16.5;43.5;16.8;7.2;16;19;0.9;68.2;6.8;3.5;1.6;41.6;1244;75.4;18.4;6.2;0;12.3;408.259.798.995;-739.032.663.317;NY;40.8259798995 -73.9032663317
80;36005013800;Bronx;Bronx;2989;1451;1538;21.6;67.4;4.9;0;4.9;2234;79773;16378;39479;5942;5.5;0;31.5;13.2;28;10.2;17.2;59.1;12.6;24.5;1.7;0;2.2;35.6;1420;72.7;22.2;5.1;0;7.9;408.124.120.603;-738.177.889.447;NY;40.8124120603 -73.8177889447
81;36005014100;Bronx;Bronx;5355;2435;2920;61.2;0.8;36.2;0;0.9;2821;32500;6835;20805;7504;26.2;31.6;21.2;37;24.5;4.2;13.1;15.1;2.2;70.6;10.1;0;2;43.8;2163;88.3;8.9;1.9;0.9;13.1;40.823.718.593;-739.159.296.482;NY;40.823718593 -73.9159296482
82;36005014300;Bronx;Bronx;968;454;514;46.2;5.4;42.1;1;4.2;505;12000;5279;9332;1813;52.2;46.6;12;59.8;15.7;2.4;10;7.8;0;73.1;10.5;4.6;4.1;39.7;249;94;4.4;1.6;0;17.8;408.259.798.995;-739.127.638.191;NY;40.8259798995 -73.9127638191
83;36005014400;Bronx;Bronx;6049;2208;3841;58.7;1.8;35.3;0;3.6;3745;19418;3697;15457;2859;46.4;56.2;16.9;42.3;27.2;6;7.5;31.4;4.4;55.7;6.3;1.7;0.4;58.5;1789;74;24.6;1.5;0;19.7;408.191.959.799;-73.824.120.603;NY;40.8191959799 -73.824120603
84;36005014500;Bronx;Bronx;7360;3082;4278;60.3;0.8;36.3;1.1;0.2;3532;22711;11074;9229;1404;50.4;58.6;12.7;48.4;21.2;4.3;13.5;13.6;8.7;69;8.7;0;0;52.4;1952;75.7;21.3;3;0;21.5;408.305.025.126;-739.095.979.899;NY;40.8305025126 -73.9095979899
85;36005014701;Bronx;Bronx;7023;3129;3894;52.8;1.2;45.6;0;0;3729;14334;4251;8401;1956;61;68.3;13.1;53.7;23;4.8;5.4;9.2;1.3;78.7;8.2;0;2.6;46;1735;74.4;22;3.6;0;24.8;408.327.638.191;-739.064.321.608;NY;40.8327638191 -73.9064321608
86;36005014702;Bronx;Bronx;5243;2148;3095;59.4;0.4;39;0;0;2899;17782;2306;7962;1099;57.8;79;12.4;51.2;23.5;3.8;9.1;4.8;1.3;80.9;10;0.8;2.2;44.9;1436;88.6;9.8;1.5;0;19.7;408.350.251.256;-739.064.321.608;NY;40.8350251256 -73.9064321608
87;36005014900;Bronx;Bronx;4348;2140;2208;59.1;2.3;35.2;0;0.2;2399;27212;7590;12449;1544;48.5;53.8;17.6;34.2;25.2;11.6;11.3;32.7;4.3;52.9;2.9;3.1;4.2;41.6;1430;77;11;12;0;18.1;408.305.025.126;-739.032.663.317;NY;40.8305025126 -73.9032663317
