id;CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment;Latitude;Longitude;State;location
1672;36081046100;Queens;Queens;2988;1563;1425;42.5;4.8;0.4;0.2;49.2;1067;44757;7667;18528;3383;24.6;38.5;14.6;37.8;23.9;11.5;12.2;12.1;3.5;67.7;12.1;3.8;0.8;42.8;1437;88.9;3.6;6.7;0.8;7.1;407.423.115.578;-738.716.080.402;NY;40.7423115578 -73.8716080402
1673;36081046200;Queens;Queens;8760;4123;4637;38.3;3.5;7.1;0.1;42.7;3622;47524;8113;17342;3618;15.6;19.1;14.8;40.1;23.1;11.2;10.8;18.8;6.4;65.3;5.5;2.4;1.5;48;4095;84.8;11.8;3.3;0;10.4;407.083.919.598;-737.892.964.824;NY;40.7083919598 -73.7892964824
1674;36081046300;Queens;Queens;3985;1860;2125;53.8;1.2;0.5;0;41.2;1440;42720;4698;17198;2934;24.9;31.2;13.5;35.4;22.9;9.7;18.5;18.7;1.2;69.3;8.6;2.2;0;42.9;1769;88.3;6.4;5.3;0;7.2;407.445.728.643;-738.716.080.402;NY;40.7445728643 -73.8716080402
1675;36081046400;Queens;Queens;1734;789;945;24.5;23.8;21.2;4;22.7;1321;95250;28027;34214;7283;10.6;17.7;59.1;3.7;27.3;2.5;7.3;25.9;6.2;58.7;2.7;0.5;5.9;45.5;790;74.2;23.4;2.4;0;7.9;407.174.371.859;-737.861.306.533;NY;40.7174371859 -73.7861306533
1676;36081046500;Queens;Queens;3680;2193;1487;78.8;3.4;0;0;17.8;1232;42344;17868;17649;2501;19.3;22.1;7.1;43.4;16.8;17;15.7;10.8;1;75.2;7.1;4.8;1.1;43.3;2151;87.4;5.7;6.9;0;4.4;407.468.341.709;-738.716.080.402;NY;40.7468341709 -73.8716080402
1677;36081046600;Queens;Queens;3521;1491;2030;13.3;15.5;20.7;0;48.4;2255;52477;11205;27633;7107;30.8;44;36.3;19.1;36.3;2;6.3;31.4;2.3;59.2;5.1;1.1;0.9;41.5;1583;82.7;15.1;2.2;0;7.4;407.129.145.729;-737.892.964.824;NY;40.7129145729 -73.7892964824
1678;36081046700;Queens;Queens;6815;3474;3341;62.7;3.7;1.3;0;32.4;2119;34214;9427;13815;2550;32.8;42.2;14;42.4;19.8;12.4;11.3;11.4;6.5;70;9.9;0.4;1.9;42.9;3118;87.4;7.3;5.3;0;3.5;407.423.115.578;-738.779.396.985;NY;40.7423115578 -73.8779396985
1679;36081046800;Queens;Queens;3171;1616;1555;18.2;6;8.9;0;52.7;1771;42089;8676;19184;1825;13.1;14.7;26.2;34.1;24.5;2.6;12.6;15.2;5.6;70.1;4.4;1.3;3.4;48.1;1550;83;12.3;4.7;0;13;407.083.919.598;-737.829.648.241;NY;40.7083919598 -73.7829648241
1680;36081046900;Queens;Queens;8205;4315;3890;50.9;4.8;1.9;0;35.9;3642;45048;5197;21087;4238;29.1;36.1;18;38.6;28.1;5.3;9.9;13.6;2.4;72.7;7.4;4;0;41.4;3602;89.6;6;4.4;0;7;407.445.728.643;-738.779.396.985;NY;40.7445728643 -73.8779396985
1681;36081047000;Queens;Queens;3322;1741;1581;21.1;3.4;9.5;11.3;39.4;2094;53409;9751;17247;2432;10.9;17;17.9;39;16.8;9.5;16.9;34.7;4.7;57.3;2.6;0;0.8;51.1;1299;86.8;8.5;4.6;0;15.8;407.106.532.663;-73.779.798.995;NY;40.7106532663 -73.779798995
